Season,Tm,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
2023-24,1st,Chet Holmgren,Jaime Jaquez,Brandon Miller,Brandin Podziemski,Victor Wembanyama
2023-24,2nd,Dereck Lively,Gregory Jackson,Keyonte George,Amen Thompson,Cason Wallace
2022-23,1st,Paolo Banchero,Walker Kessler,Bennedict Mathurin,Keegan Murray,Jalen Williams
2022-23,2nd,Jalen Duren,Tari Eason,Jaden Ivey,Jabari Smith,Jeremy Sochan
2021-22,1st,Scottie Barnes,Cade Cunningham,Evan Mobley,Franz Wagner,Jalen Green
2021-22,2nd,Herbert Jones,Josh Giddey,Bones Hyland,Ayo Dosunmu,Chris Duarte
2020-21,1st,LaMelo Ball,Saddiq Bey,Anthony Edwards,Tyrese Haliburton,Jae'Sean Tate
2020-21,2nd,Desmond Bane,Isaac Okoro,Immanuel Quickley,Isaiah Stewart,Patrick Williams
2019-20,1st,Ja Morant,Kendrick Nunn,Brandon Clarke,Zion Williamson,Eric Paschall
2019-20,2nd,Tyler Herro,Terence Davis,Coby White,P.J. Washington,Rui Hachimura
2018-19,1st,Luka Dončić,Trae Young,Deandre Ayton,Jaren Jackson,Marvin Bagley
2018-19,2nd,Shai Gilgeous-Alexander,Collin Sexton,Landry Shamet,Mitchell Robinson,Kevin Huerter
2017-18,1st,Donovan Mitchell,Ben Simmons,Jayson Tatum,Kyle Kuzma,Lauri Markkanen
2017-18,2nd,Dennis Smith,Lonzo Ball,John Collins,Bogdan Bogdanović,Josh Jackson
2016-17,1st,Malcolm Brogdon,Dario Šarić,Joel Embiid,Buddy Hield,Willy Hernangómez
2016-17,2nd,Jamal Murray,Jaylen Brown,Marquese Chriss,Brandon Ingram,Yogi Ferrell
2015-16,1st,Karl-Anthony Towns,Kristaps Porziņģis,Devin Booker,Nikola Jokić,Jahlil Okafor
2015-16,2nd,Justise Winslow,D'Angelo Russell,Emmanuel Mudiay,Myles Turner,Willie Cauley-Stein
2014-15,1st,Andrew Wiggins,Nikola Mirotić,Nerlens Noel,Elfrid Payton,Jordan Clarkson
2014-15,2nd,Marcus Smart,Zach LaVine,Bojan Bogdanović,Jusuf Nurkić,Langston Galloway
2013-14,1st,Michael Carter-Williams,Victor Oladipo,Trey Burke,Mason Plumlee,Tim Hardaway
2013-14,2nd,Kelly Olynyk,Giannis Antetokounmpo,Gorgui Dieng,Cody Zeller,Steven Adams
2012-13,1st,Harrison Barnes,Bradley Beal,Anthony Davis,Damian Lillard,Dion Waiters
2012-13,2nd,Andre Drummond,Michael Kidd-Gilchrist,Kyle Singler,Jonas Valančiūnas,Tyler Zeller
2011-12,1st,Kenneth Faried,Kyrie Irving,Ricky Rubio,Klay Thompson,Brandon Knight Kawhi Leonard Iman Shumpert (T)
2011-12,2nd,MarShon Brooks,Chandler Parsons,Isaiah Thomas,Tristan Thompson,Derrick Williams
2010-11,1st,DeMarcus Cousins,Landry Fields,Blake Griffin,Gary Neal,John Wall
2010-11,2nd,Eric Bledsoe,Derrick Favors,Paul George,Wesley Johnson,Greg Monroe
2009-10,1st,Darren Collison,Stephen Curry,Tyreke Evans,Taj Gibson,Brandon Jennings
2009-10,2nd,DeJuan Blair,Jonny Flynn,James Harden,Jonas Jerebko,Marcus Thornton
2008-09,1st,Michael Beasley,Brook Lopez,O.J. Mayo,Derrick Rose,Russell Westbrook
2008-09,2nd,Mario Chalmers,Marc Gasol,Eric Gordon,Kevin Love,D.J. Augustin Rudy Fernández (T)
2007-08,1st,Kevin Durant,Jeff Green,Al Horford,Luis Scola,Al Thornton
2007-08,2nd,Carl Landry,Jamario Moon,Juan Carlos Navarro,Rodney Stuckey,Thaddeus Young
2006-07,1st,Andrea Bargnani,Randy Foye,Rudy Gay,Brandon Roy,LaMarcus Aldridge Jorge Garbajosa (T)
2006-07,2nd,Paul Millsap,Adam Morrison,Craig Smith,Tyrus Thomas,Walter Herrmann Rajon Rondo Marcus Williams (T)
2005-06,1st,Andrew Bogut,Channing Frye,Chris Paul,Charlie Villanueva,Deron Williams
2005-06,2nd,Raymond Felton,Ryan Gomes,Danny Granger,Luther Head,Marvin Williams
2004-05,1st,Luol Deng,Ben Gordon,Dwight Howard,Andre Iguodala,Emeka Okafor
2004-05,2nd,Josh Childress,Al Jefferson,Nenad Krstić,Jameer Nelson,Josh Smith
2003-04,1st,Carmelo Anthony,Chris Bosh,Kirk Hinrich,LeBron James,Dwyane Wade
2003-04,2nd,Marquis Daniels,T.J. Ford,Udonis Haslem,Jarvis Hayes,Josh Howard
2002-03,1st,Caron Butler,Drew Gooden,Nenê Hilário,Yao Ming,Amar'e Stoudemire
2002-03,2nd,Carlos Boozer,J.R. Bremer,Manu Ginóbili,Gordan Giriček,Jay Williams
2001-02,1st,Shane Battier,Pau Gasol,Andrei Kirilenko,Tony Parker,Jason Richardson
2001-02,2nd,Eddie Griffin,Richard Jefferson,Željko Rebrača,Jamaal Tinsley,Joe Johnson Vladimir Radmanović (T)
2000-01,1st,Marc Jackson,Kenyon Martin,Darius Miles,Mike Miller,Morris Peterson
2000-01,2nd,Courtney Alexander,Marcus Fizer,Desmond Mason,Chris Mihm,Hedo Türkoğlu